symbol	date	close	open	high	low	volume
spy	2021-01-04 09:30:00	374.5400085449219	375.30999755859375	375.45001220703125	374.5	2767517.0
spy	2021-01-04 09:35:00	373.9920959472656	374.5299987792969	374.5899963378906	373.8800048828125	1018883.0
spy	2021-01-04 09:40:00	374.1099853515625	373.9800109863281	374.1199951171875	373.5400085449219	783329.0
spy	2021-01-04 09:45:00	374.19000244140625	374.1000061035156	374.3399963378906	373.9800109863281	812240.0
spy	2021-01-04 09:50:00	373.6099853515625	374.17999267578125	374.19000244140625	373.1099853515625	1042140.0
spy	2021-01-04 09:55:00	373.510009765625	373.6000061035156	373.75	373.2799987792969	621770.0
spy	2021-01-04 10:00:00	373.2449951171875	373.5299987792969	373.739990234375	373.0799865722656	598028.0
spy	2021-01-04 10:05:00	372.8900146484375	373.2449951171875	373.3699951171875	372.760009765625	630892.0
spy	2021-01-04 10:10:00	372.57000732421875	372.8900146484375	373.0	372.55999755859375	906770.0
spy	2021-01-04 10:15:00	372.4549865722656	372.57501220703125	372.7799987792969	372.3299865722656	691050.0
spy	2021-01-04 10:20:00	372.3500061035156	372.4549865722656	372.7200012207031	372.3299865722656	617723.0
spy	2021-01-04 10:25:00	372.489990234375	372.3399963378906	372.54998779296875	372.1400146484375	1413189.0
spy	2021-01-04 10:30:00	372.0111083984375	372.4800109863281	372.59991455078125	371.8699951171875	1648245.0
spy	2021-01-04 10:35:00	371.8349914550781	372.01019287109375	372.0400085449219	371.70001220703125	1163171.0
spy	2021-01-04 10:40:00	371.989990234375	371.80999755859375	372.3179931640625	371.7799987792969	757443.0
spy	2021-01-04 10:45:00	371.1499938964844	371.9849853515625	371.9849853515625	371.1000061035156	1074996.0
spy	2021-01-04 10:50:00	370.2099914550781	371.1700134277344	371.29998779296875	369.9200134277344	1876467.0
spy	2021-01-04 10:55:00	369.9800109863281	370.20001220703125	370.3699951171875	369.82000732421875	1423766.0
spy	2021-01-04 11:00:00	369.02899169921875	369.9800109863281	370.30999755859375	368.5899963378906	2101567.0
spy	2021-01-04 11:05:00	368.1199951171875	369.0389099121094	369.44000244140625	367.8599853515625	1794569.0
spy	2021-01-04 11:10:00	369.29998779296875	368.1199951171875	369.3299865722656	367.6521911621094	1473218.0
spy	2021-01-04 11:15:00	369.3800964355469	369.32000732421875	369.42999267578125	368.8450012207031	1512261.0
spy	2021-01-04 11:20:00	368.67169189453125	369.3826904296875	369.3826904296875	368.6600036621094	853502.0
spy	2021-01-04 11:25:00	368.9800109863281	368.68328857421875	369.19000244140625	368.55999755859375	720646.0
spy	2021-01-04 11:30:00	368.7500915527344	368.98809814453125	368.98809814453125	368.1600036621094	1466471.0
spy	2021-01-04 11:35:00	368.41009521484375	368.75	368.7900085449219	368.1300048828125	766277.0
spy	2021-01-04 11:40:00	368.25	368.4100036621094	368.4508972167969	368.05999755859375	1283960.0
spy	2021-01-04 11:45:00	368.1600036621094	368.2799987792969	368.30999755859375	367.92999267578125	546705.0
spy	2021-01-04 11:50:00	367.2900085449219	368.1665954589844	368.3299865722656	367.2650146484375	934741.0
spy	2021-01-04 11:55:00	366.9599914550781	367.2799987792969	367.3699951171875	366.69000244140625	1520756.0
spy	2021-01-04 12:00:00	366.739990234375	366.95001220703125	367.25	366.5	1046911.0
spy	2021-01-04 12:05:00	366.1380920410156	366.7200012207031	367.0199890136719	365.989990234375	1145857.0
spy	2021-01-04 12:10:00	365.2799987792969	366.139892578125	366.3399963378906	365.17999267578125	1727126.0
spy	2021-01-04 12:15:00	366.0050048828125	365.2699890136719	366.239990234375	364.82000732421875	2140563.0
spy	2021-01-04 12:20:00	366.3388977050781	366.0	366.5299987792969	365.6499938964844	1563018.0
spy	2021-01-04 12:25:00	366.4798889160156	366.32000732421875	366.5199890136719	366.11151123046875	693517.0
spy	2021-01-04 12:30:00	366.2300109863281	366.4630126953125	366.4630126953125	365.55999755859375	1183102.0
spy	2021-01-04 12:35:00	365.7300109863281	366.239990234375	366.3800048828125	365.4100036621094	586406.0
spy	2021-01-04 12:40:00	365.4150085449219	365.7099914550781	365.739990234375	365.2311096191406	657887.0
spy	2021-01-04 12:45:00	365.2200012207031	365.4118957519531	365.42999267578125	365.1300048828125	635995.0
spy	2021-01-04 12:50:00	366.1369934082031	365.2200012207031	366.1700134277344	365.010009765625	2229568.0
spy	2021-01-04 12:55:00	366.2701110839844	366.1435852050781	366.4200134277344	366.0299987792969	851361.0
spy	2021-01-04 13:00:00	366.3334045410156	366.2699890136719	366.4700012207031	366.1099853515625	1198531.0
spy	2021-01-04 13:05:00	366.6549987792969	366.3200988769531	366.75	366.07000732421875	645741.0
spy	2021-01-04 13:10:00	367.0450134277344	366.6600036621094	367.1700134277344	366.6400146484375	633872.0
spy	2021-01-04 13:15:00	367.3699951171875	367.0450134277344	367.489990234375	367.0198974609375	559291.0
spy	2021-01-04 13:20:00	367.9800109863281	367.3599853515625	368.0199890136719	367.3599853515625	895089.0
spy	2021-01-04 13:25:00	367.9599914550781	367.9856872558594	368.25	367.79998779296875	953646.0
